Year,Category,Type,Name,Birth_City,Birth_Country,Sex,Organization_Name,Organization_City,Organization_Country
1933,Peace,Individual,Sir Norman Angell (Ralph Lane),Holbeach,United Kingdom,Male,,,
1933,Physics,Individual,Erwin Schrödinger,Vienna,Austria,Male,Berlin University,Berlin,Germany
1933,Physics,Individual,Paul Adrien Maurice Dirac,Bristol,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1934,Chemistry,Individual,Harold Clayton Urey,"Walkerton, IN",United States of America,Male,Columbia University,"New York, NY",United States of America
1934,Literature,Individual,Luigi Pirandello,"Agrigento, Sicily",Italy,Male,,,
1934,Medicine,Individual,George Hoyt Whipple,"Ashland, NH",United States of America,Male,University of Rochester,"Rochester, NY",United States of America
1934,Medicine,Individual,George Richards Minot,"Boston, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1934,Medicine,Individual,William Parry Murphy,"Stoughton, WI",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1934,Medicine,Individual,William Parry Murphy,"Stoughton, WI",United States of America,Male,Peter Brent Brigham Hospital,"Boston, MA",United States of America
1934,Peace,Individual,Arthur Henderson,Glasgow,Scotland,Male,,,
1935,Chemistry,Individual,Frédéric Joliot,Paris,France,Male,Institut du Radium,Paris,France
1935,Chemistry,Individual,Irène Joliot-Curie,Paris,France,Female,Institut du Radium,Paris,France
1935,Medicine,Individual,Hans Spemann,Stuttgart,W&uuml;rttemberg (Germany),Male,University of Freiburg im Breisgau,Breisgau,Germany
1935,Peace,Individual,Carl von Ossietzky,Hamburg,Germany,Male,,,
1935,Physics,Individual,James Chadwick,Manchester,United Kingdom,Male,Liverpool University,Liverpool,United Kingdom
1936,Chemistry,Individual,Petrus (Peter) Josephus Wilhelmus Debye,Maastricht,Netherlands,Male,Berlin University,Berlin,Germany
1936,Chemistry,Individual,Petrus (Peter) Josephus Wilhelmus Debye,Maastricht,Netherlands,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany
1936,Literature,Individual,Eugene Gladstone O'Neill,"New York, NY",United States of America,Male,,,
1936,Medicine,Individual,Sir Henry Hallett Dale,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom
1936,Medicine,Individual,Otto Loewi,Frankfurt-on-the-Main,Germany,Male,Graz University,Graz,Austria
1936,Peace,Individual,Carlos Saavedra Lamas,Buenos Aires,Argentina,Male,,,
1936,Physics,Individual,Victor Franz Hess,Peggau,Austria,Male,Innsbruck University,Innsbruck,Austria
1936,Physics,Individual,Carl David Anderson,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1937,Chemistry,Individual,Walter Norman Haworth,Chorley,United Kingdom,Male,Birmingham University,Birmingham,United Kingdom
1937,Chemistry,Individual,Paul Karrer,Moscow,Russia,Male,University of Zurich,Zurich,Switzerland
1937,Literature,Individual,Roger Martin du Gard,Neuilly-sur-Seine,France,Male,,,
1937,Medicine,Individual,Albert von Szent-Györgyi Nagyrápolt,Budapest,Austria-Hungary (Hungary),Male,Szeged University,Szeged,Hungary
1937,Peace,Individual,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)",London,United Kingdom,Male,,,
1937,Physics,Individual,Clinton Joseph Davisson,"Bloomington, IL",United States of America,Male,Bell Telephone Laboratories,"New York, NY",United States of America
1937,Physics,Individual,George Paget Thomson,Cambridge,United Kingdom,Male,London University,London,United Kingdom
1938,Chemistry,Individual,Richard Kuhn,Vienna,Austria-Hungary (Austria),Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany
1938,Chemistry,Individual,Richard Kuhn,Vienna,Austria-Hungary (Austria),Male,University of Heidelberg,Heidelberg,Germany
1938,Literature,Individual,Pearl Buck,"Hillsboro, WV",United States of America,Female,,,
1938,Medicine,Individual,Corneille Jean François Heymans,Ghent,Belgium,Male,Ghent University,Ghent,Belgium
1938,Peace,Organization,Office international Nansen pour les Réfugiés (Nansen International Office for Refugees),,,,,,
1938,Physics,Individual,Enrico Fermi,Rome,Italy,Male,Rome University,Rome,Italy
1939,Chemistry,Individual,Adolf Friedrich Johann Butenandt,Bremerhaven-Lehe,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany
1939,Chemistry,Individual,Adolf Friedrich Johann Butenandt,Bremerhaven-Lehe,Germany,Male,Berlin University,Berlin,Germany
1939,Chemistry,Individual,Leopold Ruzicka,Vukovar,Austria-Hungary (Croatia),Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland
1939,Literature,Individual,Frans Eemil Sillanpää,Hämeenkyrö,Russian Empire (Finland),Male,,,
1939,Medicine,Individual,Gerhard Domagk,Lagow,Germany (Poland),Male,Munster University,Munster,Germany
1939,Physics,Individual,Ernest Orlando Lawrence,"Canton, SD",United States of America,Male,University of California,"Berkeley, CA",United States of America
1943,Chemistry,Individual,George de Hevesy,Budapest,Austria-Hungary (Hungary),Male,Stockholm University,Stockholm,Sweden
1943,Medicine,Individual,Henrik Carl Peter Dam,Copenhagen,Denmark,Male,Polytechnic Institute,Copenhagen,Denmark
1943,Medicine,Individual,Edward Adelbert Doisy,"Hume, IL",United States of America,Male,Saint Louis University,"St. Louis, MO",United States of America
1943,Physics,Individual,Otto Stern,Sorau (Zory),Germany (Poland),Male,Carnegie Institute of Technology,"Pittsburgh, PA",United States of America
1944,Chemistry,Individual,Otto Hahn,Frankfurt-on-the-Main,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany
1944,Literature,Individual,Johannes Vilhelm Jensen,Farsø,Denmark,Male,,,
1944,Medicine,Individual,Joseph Erlanger,"San Francisco, CA",United States of America,Male,Washington University,"St. Louis, MO",United States of America
1944,Medicine,Individual,Herbert Spencer Gasser,"Platteville, WI",United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America
1944,Peace,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,
1944,Physics,Individual,Isidor Isaac Rabi,Rymanow,Austria-Hungary (Poland),Male,Columbia University,"New York, NY",United States of America
1945,Chemistry,Individual,Artturi Ilmari Virtanen,Helsinki,Russian Empire (Finland),Male,University of Helsinki,Helsinki,Finland
1945,Literature,Individual,Gabriela Mistral,Vicuña,Chile,Female,,,
1945,Medicine,Individual,Sir Alexander Fleming,Lochfield,Scotland,Male,London University,London,United Kingdom
1945,Medicine,Individual,Ernst Boris Chain,Berlin,Germany,Male,University of Oxford,Oxford,United Kingdom
1945,Medicine,Individual,Sir Howard Walter Florey,Adelaide,Australia,Male,University of Oxford,Oxford,United Kingdom
1945,Peace,Individual,Cordell Hull,"Olympus, TN",United States of America,Male,,,
1945,Physics,Individual,Wolfgang Pauli,Vienna,Austria,Male,Princeton University,"Princeton, NJ",United States of America
1946,Chemistry,Individual,James Batcheller Sumner,"Canton, MA",United States of America,Male,Cornell University,"Ithaca, NY",United States of America
1946,Chemistry,Individual,John Howard Northrop,"Yonkers, NY",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America
1946,Chemistry,Individual,Wendell Meredith Stanley,"Ridgeville, IN",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America
1946,Literature,Individual,Hermann Hesse,Calw,Germany,Male,,,
1946,Medicine,Individual,Hermann Joseph Muller,"New York, NY",United States of America,Male,Indiana University,"Bloomington, IN",United States of America
1946,Peace,Individual,Emily Greene Balch,"Jamaica Plain, MA (Boston)",United States of America,Female,,,
1946,Peace,Individual,John Raleigh Mott,"Livingston Manor, NY",United States of America,Male,,,
1946,Physics,Individual,Percy Williams Bridgman,"Cambridge, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1947,Chemistry,Individual,Sir Robert Robinson,"Rufford, near Chesterfield",United Kingdom,Male,University of Oxford,Oxford,United Kingdom
1947,Literature,Individual,André Paul Guillaume Gide,Paris,France,Male,,,
1947,Medicine,Individual,Carl Ferdinand Cori,Prague,Austria-Hungary (Czech Republic),Male,Washington University,"St. Louis, MO",United States of America
1947,Medicine,Individual,"Gerty Theresa Cori, née Radnitz",Prague,Austria-Hungary (Czech Republic),Female,Washington University,"St. Louis, MO",United States of America
1947,Medicine,Individual,Bernardo Alberto Houssay,Buenos Aires,Argentina,Male,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina
1947,Peace,Organization,Friends Service Council (The Quakers),,,,,,
1947,Peace,Organization,American Friends Service Committee (The Quakers),,,,,,
1947,Physics,Individual,Sir Edward Victor Appleton,Bradford,United Kingdom,Male,Department of Scientific and Industrial Research,London,United Kingdom
1948,Chemistry,Individual,Arne Wilhelm Kaurin Tiselius,Stockholm,Sweden,Male,Uppsala University,Uppsala,Sweden
1948,Literature,Individual,Thomas Stearns Eliot,"St. Louis, MO",United States of America,Male,,,
1948,Medicine,Individual,Paul Hermann Müller,Olten,Switzerland,Male,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland
1948,Physics,Individual,Patrick Maynard Stuart Blackett,London,United Kingdom,Male,Victoria University,Manchester,United Kingdom
1949,Chemistry,Individual,William Francis Giauque,Niagara Falls,Canada,Male,University of California,"Berkeley, CA",United States of America
1949,Literature,Individual,William Faulkner,"New Albany, MS",United States of America,Male,,,
