Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Denmark,DNK,..,..,38,39,40,42,43,44,46,48,52,56,60,63,67,64,74,78,80,81,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Czech Republic,CZE,..,..,55,51,47,43,40,43,69,64,58,51,63,72,71,70,68,67,72,79,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,"Egypt, Arab Rep.",EGY,..,..,0,0,0,0,0,0,1,1,1,1,6,7,8,9,12,14,18,19,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,France,FRA,..,..,58,62,63,64,64,65,66,66,67,67,70,72,74,75,77,78,79,80,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Hungary,HUN,..,..,46,38,37,34,32,28,29,34,33,36,38,40,40,39,45,53,54,56,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,"Iran, Islamic Rep.",IRN,..,..,0,0,0,0,0,1,1,1,2,3,4,6,7,10,13,16,19,22,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Ireland,IRL,..,..,42,46,49,52,54,55,56,56,57,57,59,60,62,64,66,68,69,70,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Italy,ITA,..,..,25,29,33,37,41,44,48,52,55,58,62,65,68,73,74,76,86,88,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Japan,JPN,..,..,24,31,36,40,44,47,50,52,55,57,59,62,64,67,68,78,85,85,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Kenya,KEN,..,..,0,0,0,0,2,4,9,12,17,23,30,43,47,50,58,68,76,83,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Kuwait,KWT,..,..,57,61,73,57,68,76,70,65,54,56,51,61,58,61,58,53,58,54,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Malaysia,MYS,..,..,1,1,5,8,12,15,17,20,22,24,26,28,29,33,41,43,57,60,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Mexico,MEX,..,..,9,12,15,19,20,21,25,27,29,30,32,34,48,46,47,53,54,57,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Middle East & North Africa,MEA,..,..,0.221118129220188,0.331276515020123,0.428778641846183,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Netherlands,NLD,..,..,43,49,56,60,64,66,66,68,70,71,73,74,75,76,77,78,79,80,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,New Zealand,NZL,..,..,26,28,29,31,33,40,40,42,44,47,52,54,53,53,53,53,51,77,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Nepal,NPL,..,..,0,0,0,0,0,0,1,5,9,12,17,24,29,34,40,46,51,60,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Norway,NOR,..,..,45,56,66,73,80,84,88,91,93,95,94,93,93,92,91,91,91,90,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Pakistan,PAK,..,..,0,0,2,3,2,1,0,1,1,2,2,2,3,3,4,4,5,6,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Portugal,PRT,..,..,21,25,28,32,35,38,41,44,47,51,56,61,66,71,76,79,83,91,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Philippines,PHL,..,..,0,0,0,0,0,1,3,4,6,7,9,9,10,8,9,9,10,12,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Romania,ROU,..,..,95,95,95,95,95,95,95,95,95,95,90,84,79,80,81,83,88,94,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Russian Federation,RUS,..,..,0,1,1,1,1,1,3,5,12,13,14,17,19,21,24,27,35,37,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Singapore,SGP,..,..,1,1,2,2,2,3,3,9,16,20,21,25,31,48,55,72,75,77,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Serbia,SRB,..,..,0,0,0,36,45,53,52,51,51,51,53,52,52,52,54,56,60,62,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Somalia,SOM,..,..,0,0,0,0,0,0,1,1,3,4,6,9,13,18,19,24,28,33,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,South Asia,SAS,..,..,0,0,0.000377042846163971,0.000811836630277591,0.00133935594058293,0.991972066705929,1.97695675833742,4.95299560369583,8.87810635205254,12.7688595953921,17.6003983987272,23.3877779736436,29.132526650917,36.7104602905416,41.4279077954808,47.0270658110205,52.6155004461829,60.0941695968251,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,South Africa,ZAF,..,..,0,0,0,1,2,3,5,8,13,18,26,34,41,46,51,56,60,66,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Spain,ESP,..,..,30,35,39,44,47,51,54,57,60,63,68,69,72,73,75,78,78,82,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Sri Lanka,LKA,..,..,0,0,0,0,0,2,2,3,4,6,8,10,12,15,18,23,30,35,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Tajikistan,TJK,..,..,0,0,0,0,0,0,1,1,2,3,4,9,14,16,25,38,42,51,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Thailand,THA,..,..,0,1,2,5,11,21,26,31,36,40,45,49,54,58,63,67,72,75,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Tanzania,TZA,..,..,0,0,0,0,0,1,4,11,12,16,22,23,38,45,57,63,70,78,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Turkey,TUR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Uganda,UGA,..,..,0,1,1,2,5,9,9,11,14,16,20,22,33,47,56,61,69,79,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Vietnam,VNM,..,..,0,0,0,0,0,1,5,8,12,17,22,27,34,37,39,46,49,52,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Uzbekistan,UZB,..,..,0,0,0,0,0,0,1,2,2,3,4,6,11,25,31,35,41,48,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Zimbabwe,ZWE,..,..,0,0,0,0,1,2,5,8,12,19,33,45,51,54,67,72,80,90,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Qatar,QAT,..,..,95,95,95,95,95,91,92,86,83,76,76,73,68,65,60,60,58,58,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Australia,AUS,..,..,47,49,47,47,48,51,55,56,55,56,62,61,67,73,75,78,80,81,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Argentina,ARG,..,..,21,24,27,30,32,33,36,39,41,43,46,49,51,54,56,58,59,61,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Austria,AUT,..,..,30,32,41,40,39,43,47,51,53,55,58,62,65,67,70,72,80,84,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Bahrain,BHR,..,..,9,9,10,9,10,11,14,18,19,22,26,29,32,35,40,46,47,50,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Azerbaijan,AZE,..,..,0,0,0,0,0,0,0,2,4,7,12,18,23,30,27,33,37,46,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Bangladesh,BGD,..,..,0,0,0,0,0,0,1,1,2,3,4,5,7,8,10,11,12,18,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Brazil,BRA,..,..,29,32,32,33,35,36,33,33,32,33,36,38,41,45,50,56,59,64,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Colombia,COL,..,..,0,1,2,4,5,6,11,9,10,11,16,22,26,32,37,43,51,56,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Denmark,DNK,..,..,43,44,46,47,49,49,51,52,57,61,64,68,72,73,77,81,84,87,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Czech Republic,CZE,..,..,41,40,40,39,37,40,63,56,48,42,51,57,53,52,55,58,67,74,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,"Egypt, Arab Rep.",EGY,..,..,0,0,0,0,0,0,5,4,6,6,8,9,10,12,16,18,23,26,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,France,FRA,..,..,58,62,63,64,64,65,66,66,67,67,70,71,73,75,77,78,79,80,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Hungary,HUN,..,..,42,43,40,37,35,34,37,37,37,37,39,43,43,46,52,60,59,63,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,"Iran, Islamic Rep.",IRN,..,..,0,0,0,0,0,1,1,1,2,2,3,5,6,8,9,12,14,17,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Ireland,IRL,..,..,47,53,56,58,59,59,59,59,59,58,57,60,64,66,68,70,72,73,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Italy,ITA,..,..,22,27,30,34,38,41,45,48,52,55,59,62,65,73,74,76,86,88,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Japan,JPN,..,..,25,34,41,46,50,53,55,56,57,58,59,59,59,60,61,75,82,82,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Kenya,KEN,..,..,0,0,0,0,2,5,11,16,22,30,36,34,38,39,43,51,56,62,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Kuwait,KWT,..,..,65,69,83,64,80,87,81,74,58,67,57,72,69,73,69,64,69,68,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Malaysia,MYS,..,..,0,2,3,4,6,7,8,10,11,12,14,15,15,18,22,28,39,41,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Mexico,MEX,..,..,9,12,15,20,22,24,28,32,35,37,39,41,43,44,47,55,60,63,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Middle East & North Africa,MEA,..,..,0.873362702646581,1.04943267406814,1.17657282570312,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Netherlands,NLD,..,..,42,44,45,46,46,47,48,50,54,57,61,64,67,71,75,78,80,80,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,New Zealand,NZL,..,..,41,42,42,42,44,45,47,49,52,57,63,66,68,70,72,74,76,78,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Nepal,NPL,..,..,0,0,0,0,0,1,2,3,6,9,12,15,18,21,25,29,33,39,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Norway,NOR,..,..,42,51,59,67,72,77,80,83,85,86,86,85,84,84,83,83,83,90,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Pakistan,PAK,..,..,0,0,3,4,4,1,1,2,2,3,3,3,4,4,5,6,7,9,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Portugal,PRT,..,..,18,21,24,27,30,33,36,40,43,46,51,56,61,66,71,75,78,90,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Philippines,PHL,..,..,0,0,0,0,0,2,5,6,7,7,8,14,15,19,24,29,34,39,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Romania,ROU,..,..,54,60,67,72,75,68,70,64,68,66,62,59,58,59,60,63,62,67,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Russian Federation,RUS,..,..,0,0,1,1,1,2,6,10,10,11,12,14,16,18,21,23,29,33,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Singapore,SGP,..,..,2,2,2,2,3,3,3,8,14,18,19,23,28,54,62,72,75,77,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Serbia,SRB,..,..,0,0,0,36,47,56,55,54,53,52,53,53,54,54,55,58,61,65,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Somalia,SOM,..,..,0,0,0,0,0,0,1,1,3,4,6,7,10,11,14,18,23,28,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,South Asia,SAS,..,..,0,0,0.000927258772724428,0.00178080249539203,0.00440433804886881,0.9970580273868,2.95646883240785,4.90513062303269,8.76854713456046,12.60565382606,16.3798228969007,20.1138454498114,23.8534308250481,29.3525429286405,32.0891778913144,34.7877516366521,39.2807474170806,46.5635913154149,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,South Africa,ZAF,..,..,0,0,0,1,1,2,4,6,10,14,20,27,32,36,40,45,48,53,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Spain,ESP,..,..,29,34,38,42,45,49,52,55,57,60,64,65,68,70,72,75,78,82,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Sri Lanka,LKA,..,..,0,0,0,0,0,1,1,2,3,4,5,6,8,12,16,20,29,37,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Tajikistan,TJK,..,..,0,0,0,0,0,0,0,0,1,1,2,6,6,6,10,14,19,22,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Thailand,THA,..,..,0,0,2,3,7,14,19,23,27,31,35,40,43,48,53,59,65,70,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Tanzania,TZA,..,..,0,0,0,0,0,1,4,11,12,16,15,18,26,30,35,40,46,52,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Turkey,TUR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Uganda,UGA,..,..,0,1,2,2,7,12,11,13,17,19,23,25,28,32,41,45,52,62,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Vietnam,VNM,..,..,0,0,0,0,0,2,4,7,12,16,20,24,27,31,35,40,44,48,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Uzbekistan,UZB,..,..,0,0,0,0,0,0,0,3,4,4,4,6,9,8,11,13,16,19,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Zimbabwe,ZWE,..,..,0,0,0,0,1,2,4,8,12,18,26,32,38,51,54,60,65,76,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Qatar,QAT,..,..,35,32,40,39,42,43,44,49,48,46,44,41,44,51,50,50,51,54,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,2.61623001098633,..,..,3.81242561340332,..,..,7.16068458557129,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,98.59228515625,..,..,99.0362319946289,..,..,99.1950912475586,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,31.8185634613037,..,..,50.8523597717285,..,..,50.757251739502,..
