Rank,Year,Month,Day,Year_to_Date_Rank,Last_Week_Rank,Title,Type,Exclusive,Release_Date,Days_in_Top_10,Viewership_Score
1,2020,4,7,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",15,150
2,2020,4,7,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",11,99
3,2020,4,7,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",4,30
4,2020,4,7,4,-,Angel Has Fallen,Movie,No,"Apr 4, 2020",3,16
5,2020,4,7,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",4,27
6,2020,4,7,6,3,All American,TV Show,No,"Mar 28, 2019",15,115
7,2020,4,7,-,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",1,4
8,2020,4,7,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",6,26
9,2020,4,7,7,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",6,29
10,2020,4,7,-,-,Legacies,TV Show,No,"Apr 5, 2019",1,1
1,2020,4,8,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",16,160
2,2020,4,8,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",12,108
3,2020,4,8,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",5,38
4,2020,4,8,7,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",2,11
5,2020,4,8,4,-,Angel Has Fallen,Movie,No,"Apr 4, 2020",4,22
6,2020,4,8,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",5,32
7,2020,4,8,6,3,All American,TV Show,No,"Mar 28, 2019",16,119
8,2020,4,8,10,-,Legacies,TV Show,No,"Apr 5, 2019",2,4
9,2020,4,8,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",7,28
10,2020,4,8,-,-,The Hangover,Movie,No,"Jul 1, 2019",2,2
1,2020,4,9,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",17,170
2,2020,4,9,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",13,117
3,2020,4,9,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",3,19
4,2020,4,9,5,-,Angel Has Fallen,Movie,No,"Apr 4, 2020",5,29
5,2020,4,9,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",6,44
6,2020,4,9,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",6,37
7,2020,4,9,7,3,All American,TV Show,No,"Mar 28, 2019",17,123
8,2020,4,9,8,-,Legacies,TV Show,No,"Apr 5, 2019",3,7
9,2020,4,9,9,4,Nailed It!,TV Show,Yes,"Mar 9, 2018",8,30
10,2020,4,9,10,-,The Hangover,Movie,No,"Jul 1, 2019",3,3
1,2020,4,10,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",18,180
2,2020,4,10,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",14,126
3,2020,4,10,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",4,27
4,2020,4,10,4,-,Angel Has Fallen,Movie,No,"Apr 4, 2020",6,36
5,2020,4,10,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",7,43
6,2020,4,10,7,3,All American,TV Show,No,"Mar 28, 2019",18,128
7,2020,4,10,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",7,48
8,2020,4,10,8,-,Legacies,TV Show,No,"Apr 5, 2019",4,10
9,2020,4,10,9,5,Nailed It!,TV Show,Yes,"Mar 9, 2018",9,32
10,2020,4,10,-,-,Community,TV Show,No,"Apr 1, 2020",1,1
1,2020,4,11,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",19,190
2,2020,4,11,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",15,135
3,2020,4,11,4,-,Angel Has Fallen,Movie,No,"Apr 4, 2020",7,44
4,2020,4,11,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",5,34
5,2020,4,11,5,3,Money Heist,TV Show,Yes,"Dec 20, 2017",8,49
6,2020,4,11,-,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",1,5
7,2020,4,11,6,4,All American,TV Show,No,"Mar 28, 2019",19,132
8,2020,4,11,7,5,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",8,51
9,2020,4,11,8,-,Legacies,TV Show,No,"Apr 5, 2019",5,12
10,2020,4,11,9,8,Nailed It!,TV Show,Yes,"Mar 9, 2018",10,33
1,2020,4,12,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",20,200
2,2020,4,12,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",16,144
3,2020,4,12,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",2,13
4,2020,4,12,3,9,Angel Has Fallen,Movie,No,"Apr 4, 2020",8,51
5,2020,4,12,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",6,40
6,2020,4,12,5,4,Money Heist,TV Show,Yes,"Dec 20, 2017",9,54
7,2020,4,12,-,-,Code 8,Movie,No,"Apr 11, 2020",1,4
8,2020,4,12,7,5,All American,TV Show,No,"Mar 28, 2019",20,135
9,2020,4,12,9,-,Legacies,TV Show,No,"Apr 5, 2019",6,14
10,2020,4,12,-,-,Community,TV Show,No,"Apr 1, 2020",2,2
1,2020,4,13,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",21,210
2,2020,4,13,7,-,Code 8,Movie,No,"Apr 11, 2020",2,13
3,2020,4,13,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",17,152
4,2020,4,13,4,4,Angel Has Fallen,Movie,No,"Apr 4, 2020",9,58
5,2020,4,13,3,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",3,19
6,2020,4,13,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",10,59
7,2020,4,13,-,-,Hop,Movie,No,"Jan 16, 2020",1,4
8,2020,4,13,5,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",7,43
9,2020,4,13,8,6,All American,TV Show,No,"Mar 28, 2019",21,137
10,2020,4,13,-,-,The Main Event,Movie,Yes,"Apr 10, 2020",1,1
1,2020,4,14,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",22,220
2,2020,4,14,3,2,Ozark,TV Show,Yes,"Jul 21, 2017",18,161
3,2020,4,14,2,-,Code 8,Movie,No,"Apr 11, 2020",3,21
4,2020,4,14,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",11,66
5,2020,4,14,9,6,All American,TV Show,No,"Mar 28, 2019",22,143
6,2020,4,14,5,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",4,24
7,2020,4,14,8,7,The Big Show Show,TV Show,Yes,"Apr 6, 2020",8,47
8,2020,4,14,10,-,The Main Event,Movie,Yes,"Apr 10, 2020",2,4
9,2020,4,14,4,4,Angel Has Fallen,Movie,No,"Apr 4, 2020",10,60
10,2020,4,14,-,10,Legacies,TV Show,No,"Apr 5, 2019",7,15
1,2020,4,15,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",23,230
2,2020,4,15,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",19,170
3,2020,4,15,3,-,Code 8,Movie,No,"Apr 11, 2020",4,29
4,2020,4,15,-,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",1,7
5,2020,4,15,4,6,Money Heist,TV Show,Yes,"Dec 20, 2017",12,72
6,2020,4,15,5,7,All American,TV Show,No,"Mar 28, 2019",23,148
7,2020,4,15,7,4,The Big Show Show,TV Show,Yes,"Apr 6, 2020",9,51
8,2020,4,15,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",5,27
9,2020,4,15,8,-,The Main Event,Movie,Yes,"Apr 10, 2020",3,6
10,2020,4,15,9,5,Angel Has Fallen,Movie,No,"Apr 4, 2020",11,61
1,2020,4,16,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",24,240
2,2020,4,16,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",20,179
3,2020,4,16,3,-,Code 8,Movie,No,"Apr 11, 2020",5,37
4,2020,4,16,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",2,14
5,2020,4,16,-,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",1,6
6,2020,4,16,-,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",1,5
7,2020,4,16,6,7,All American,TV Show,No,"Mar 28, 2019",24,152
8,2020,4,16,5,6,Money Heist,TV Show,Yes,"Dec 20, 2017",13,75
9,2020,4,16,7,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",10,53
10,2020,4,16,10,4,Angel Has Fallen,Movie,No,"Apr 4, 2020",12,62
1,2020,4,17,-,-,Despicable Me,Movie,No,"Apr 16, 2020",1,10
2,2020,4,17,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",25,249
3,2020,4,17,6,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",2,13
4,2020,4,17,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",21,186
5,2020,4,17,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",2,12
6,2020,4,17,3,-,Code 8,Movie,No,"Apr 11, 2020",6,42
7,2020,4,17,7,6,All American,TV Show,No,"Mar 28, 2019",25,156
8,2020,4,17,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",14,78
9,2020,4,17,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",3,16
10,2020,4,17,9,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",11,54
1,2020,4,18,1,-,Despicable Me,Movie,No,"Apr 16, 2020",2,20
2,2020,4,18,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",26,258
3,2020,4,18,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",3,21
4,2020,4,18,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",22,193
5,2020,4,18,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",1,6
6,2020,4,18,-,-,#blackAF,TV Show,Yes,"Apr 17, 2020",1,5
7,2020,4,18,6,-,Code 8,Movie,No,"Apr 11, 2020",7,46
8,2020,4,18,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",3,15
9,2020,4,18,7,7,All American,TV Show,No,"Mar 28, 2019",26,158
10,2020,4,18,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",15,79
1,2020,4,19,1,-,Despicable Me,Movie,No,"Apr 16, 2020",3,30
2,2020,4,19,5,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",2,15
3,2020,4,19,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",27,266
4,2020,4,19,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",4,28
5,2020,4,19,6,-,#blackAF,TV Show,Yes,"Apr 17, 2020",2,11
6,2020,4,19,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",23,198
7,2020,4,19,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",4,19
8,2020,4,19,7,7,Code 8,Movie,No,"Apr 11, 2020",8,49
9,2020,4,19,-,-,Waco,TV Show,No,"Apr 16, 2020",1,2
10,2020,4,19,10,6,Money Heist,TV Show,Yes,"Dec 20, 2017",16,80
1,2020,4,20,1,-,Despicable Me,Movie,No,"Apr 16, 2020",4,40
2,2020,4,20,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",3,24
3,2020,4,20,4,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",5,36
4,2020,4,20,3,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",28,273
5,2020,4,20,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",3,17
6,2020,4,20,6,3,Ozark,TV Show,Yes,"Jul 21, 2017",24,203
7,2020,4,20,9,-,Waco,TV Show,No,"Apr 16, 2020",2,6
8,2020,4,20,7,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",5,22
9,2020,4,20,8,2,Code 8,Movie,No,"Apr 11, 2020",9,51
10,2020,4,20,-,-,The Green Hornet,Movie,No,"Apr 18, 2020",1,1
1,2020,4,21,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",4,34
2,2020,4,21,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",6,45
3,2020,4,21,1,-,Despicable Me,Movie,No,"Apr 16, 2020",5,48
4,2020,4,21,7,-,Waco,TV Show,No,"Apr 16, 2020",3,13
5,2020,4,21,4,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",29,279
6,2020,4,21,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",4,22
7,2020,4,21,6,2,Ozark,TV Show,Yes,"Jul 21, 2017",25,207
8,2020,4,21,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",6,25
9,2020,4,21,-,5,All American,TV Show,No,"Mar 28, 2019",27,160
10,2020,4,21,10,-,The Green Hornet,Movie,No,"Apr 18, 2020",2,2
1,2020,4,22,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",5,44
2,2020,4,22,2,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",7,54
3,2020,4,22,3,-,Despicable Me,Movie,No,"Apr 16, 2020",6,56
4,2020,4,22,4,-,Waco,TV Show,No,"Apr 16, 2020",4,20
5,2020,4,22,6,-,#blackAF,TV Show,Yes,"Apr 17, 2020",5,28
6,2020,4,22,5,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",30,284
7,2020,4,22,7,2,Ozark,TV Show,Yes,"Jul 21, 2017",26,211
8,2020,4,22,9,6,All American,TV Show,No,"Mar 28, 2019",28,163
9,2020,4,22,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",7,27
10,2020,4,22,-,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",1,1
1,2020,4,23,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",6,54
2,2020,4,23,2,6,Outer Banks,TV Show,Yes,"Apr 15, 2020",8,63
3,2020,4,23,4,-,Waco,TV Show,No,"Apr 16, 2020",5,28
4,2020,4,23,-,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",1,7
5,2020,4,23,3,-,Despicable Me,Movie,No,"Apr 16, 2020",7,62
6,2020,4,23,7,2,Ozark,TV Show,Yes,"Jul 21, 2017",27,216
7,2020,4,23,6,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",31,288
8,2020,4,23,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",6,31
9,2020,4,23,-,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",1,2
10,2020,4,23,10,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",2,2
1,2020,4,24,4,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",2,17
2,2020,4,24,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",9,72
3,2020,4,24,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",7,62
4,2020,4,24,3,-,Waco,TV Show,No,"Apr 16, 2020",6,35
5,2020,4,24,6,4,Ozark,TV Show,Yes,"Jul 21, 2017",28,222
6,2020,4,24,5,1,Despicable Me,Movie,No,"Apr 16, 2020",8,67
7,2020,4,24,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",32,292
8,2020,4,24,8,-,#blackAF,TV Show,Yes,"Apr 17, 2020",7,34
9,2020,4,24,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",2,4
10,2020,4,24,10,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",3,3
1,2020,4,25,-,-,Extraction,Movie,Yes,"Apr 24, 2020",1,10
2,2020,4,25,1,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",3,26
3,2020,4,25,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",10,80
4,2020,4,25,3,5,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",8,69
5,2020,4,25,4,-,Waco,TV Show,No,"Apr 16, 2020",7,41
6,2020,4,25,5,4,Ozark,TV Show,Yes,"Jul 21, 2017",29,227
7,2020,4,25,6,1,Despicable Me,Movie,No,"Apr 16, 2020",9,71
8,2020,4,25,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",33,295
9,2020,4,25,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",3,6
10,2020,4,25,8,6,#blackAF,TV Show,Yes,"Apr 17, 2020",8,35
1,2020,4,26,1,-,Extraction,Movie,Yes,"Apr 24, 2020",2,20
2,2020,4,26,3,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",11,89
3,2020,4,26,2,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",4,34
4,2020,4,26,5,9,Waco,TV Show,No,"Apr 16, 2020",8,48
5,2020,4,26,4,2,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",9,75
6,2020,4,26,8,3,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",34,300
7,2020,4,26,6,6,Ozark,TV Show,Yes,"Jul 21, 2017",30,231
8,2020,4,26,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",4,9
9,2020,4,26,7,1,Despicable Me,Movie,No,"Apr 16, 2020",10,73
10,2020,4,26,-,-,Django Unchained,Movie,No,"Oct 25, 2014",1,1
1,2020,4,27,1,-,Extraction,Movie,Yes,"Apr 24, 2020",3,30
2,2020,4,27,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",12,98
3,2020,4,27,-,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",1,8
4,2020,4,27,3,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",5,41
5,2020,4,27,4,7,Waco,TV Show,No,"Apr 16, 2020",9,54
6,2020,4,27,5,2,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",10,80
7,2020,4,27,-,-,The Last Kingdom,TV Show,No,"Jul 10, 2016",1,4
8,2020,4,27,10,-,Django Unchained,Movie,No,"Oct 25, 2014",2,4
9,2020,4,27,7,6,Ozark,TV Show,Yes,"Jul 21, 2017",31,233
10,2020,4,27,6,4,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",35,301
1,2020,4,28,1,-,Extraction,Movie,Yes,"Apr 24, 2020",4,40
2,2020,4,28,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",13,107
3,2020,4,28,7,-,The Last Kingdom,TV Show,No,"Jul 10, 2016",2,12
4,2020,4,28,3,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",2,15
5,2020,4,28,4,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",6,47
6,2020,4,28,-,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",1,5
7,2020,4,28,5,4,Waco,TV Show,No,"Apr 16, 2020",10,58
8,2020,4,28,6,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",11,83
9,2020,4,28,9,7,Ozark,TV Show,Yes,"Jul 21, 2017",32,235
10,2020,4,28,8,-,Django Unchained,Movie,No,"Oct 25, 2014",3,5
1,2020,4,29,1,-,Extraction,Movie,Yes,"Apr 24, 2020",5,50
2,2020,4,29,6,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",2,14
3,2020,4,29,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",14,115
4,2020,4,29,3,-,The Last Kingdom,TV Show,No,"Jul 10, 2016",3,19
5,2020,4,29,5,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",7,53
6,2020,4,29,7,4,Waco,TV Show,No,"Apr 16, 2020",11,63
7,2020,4,29,9,7,Ozark,TV Show,Yes,"Jul 21, 2017",33,239
8,2020,4,29,4,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",3,18
9,2020,4,29,8,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",12,85
10,2020,4,29,10,-,Django Unchained,Movie,No,"Oct 25, 2014",4,6
1,2020,4,30,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",3,24
2,2020,4,30,1,-,Extraction,Movie,Yes,"Apr 24, 2020",6,59
3,2020,4,30,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",15,123
4,2020,4,30,4,-,The Last Kingdom,TV Show,No,"Jul 10, 2016",4,26
5,2020,4,30,-,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",1,6
6,2020,4,30,5,4,The Willoughbys,Movie,Yes,"Apr 22, 2020",8,58
7,2020,4,30,6,3,Waco,TV Show,No,"Apr 16, 2020",12,67
8,2020,4,30,7,6,Ozark,TV Show,Yes,"Jul 21, 2017",34,242
9,2020,4,30,10,-,Django Unchained,Movie,No,"Oct 25, 2014",5,8
10,2020,4,30,9,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",13,86
1,2020,5,1,1,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",4,34
2,2020,5,1,-,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",1,9
3,2020,5,1,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",16,131
4,2020,5,1,2,-,Extraction,Movie,Yes,"Apr 24, 2020",7,66
5,2020,5,1,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",2,12
6,2020,5,1,4,-,The Last Kingdom,TV Show,No,"Jul 10, 2016",5,31
7,2020,5,1,6,1,The Willoughbys,Movie,Yes,"Apr 22, 2020",9,62
8,2020,5,1,7,4,Waco,TV Show,No,"Apr 16, 2020",13,70
9,2020,5,1,8,5,Ozark,TV Show,Yes,"Jul 21, 2017",35,244
10,2020,5,1,10,3,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",14,87
1,2020,5,2,2,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",2,19
2,2020,5,2,1,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",5,43
3,2020,5,2,3,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",17,139
4,2020,5,2,4,1,Extraction,Movie,Yes,"Apr 24, 2020",8,73
