category,item,variety,price,unit,month,year
vegetable,lettuce,butterhead_indoor,0.47,head,2,2022
vegetable,lettuce,little_gem,0.8,twin,2,2022
vegetable,onion,bulb_brown,0.4,kg,2,2022
vegetable,onion,bulb_red,0.63,kg,2,2022
vegetable,swede,swede,0.24,kg,2,2022
vegetable,turnip,turnip,1.02,kg,2,2022
vegetable,parsnips,all_varieties,1.04,kg,2,2022
vegetable,rhubarb,forced,5.02,kg,2,2022
cut_flowers,tulips,tulips,0.28,stem,2,2022
fruit,apples,bramleys_seedling,1.97,kg,2,2022
fruit,apples,coxs_orange_group,1.28,kg,2,2022
fruit,apples,egremont_russet,1.14,kg,2,2022
fruit,apples,braeburn,1.04,kg,2,2022
fruit,apples,gala,1.05,kg,2,2022
fruit,apples,other_late_season,1.29,kg,2,2022
fruit,pears,conference,1.12,kg,2,2022
fruit,pears,doyenne_du_comice,1.09,kg,2,2022
vegetable,beetroot,beetroot,0.5,kg,2,2022
vegetable,brussels_sprouts,brussels_sprouts,0.84,kg,2,2022
vegetable,pak_choi,pak_choi,3.38,kg,2,2022
vegetable,curly_kale,curly_kale,3.45,kg,2,2022
vegetable,cabbage,red,0.61,kg,2,2022
vegetable,cabbage,savoy,0.48,head,2,2022
vegetable,spring_greens,prepacked,1.01,kg,2,2022
vegetable,cabbage,white,0.42,kg,2,2022
vegetable,cabbage,round_green_other,0.47,head,2,2022
vegetable,carrots,topped_washed,0.48,kg,2,2022
vegetable,cauliflower,all,0.82,head,2,2022
vegetable,celeriac,celeriac,0.69,kg,2,2022
vegetable,chinese_leaf,chinese_leaf,0.97,kg,2,2022
vegetable,leeks,trimmed,1.2,kg,2,2022
vegetable,lettuce,butterhead_indoor,0.47,head,2,2022
vegetable,lettuce,little_gem,0.8,twin,2,2022
vegetable,onion,bulb_brown,0.46,kg,2,2022
vegetable,onion,bulb_red,0.56,kg,2,2022
vegetable,swede,swede,0.24,kg,2,2022
vegetable,turnip,turnip,1.09,kg,2,2022
vegetable,parsnips,all_varieties,1.04,kg,2,2022
vegetable,rhubarb,forced,5.04,kg,2,2022
cut_flowers,tulips,tulips,0.27,stem,2,2022
fruit,apples,bramleys_seedling,1.94,kg,2,2022
fruit,apples,coxs_orange_group,1.35,kg,2,2022
fruit,apples,egremont_russet,1.22,kg,2,2022
fruit,apples,braeburn,1.02,kg,2,2022
fruit,apples,gala,1.01,kg,2,2022
fruit,apples,other_late_season,1.23,kg,2,2022
fruit,pears,conference,1.17,kg,2,2022
fruit,pears,doyenne_du_comice,1.1,kg,2,2022
vegetable,beetroot,beetroot,0.53,kg,2,2022
vegetable,brussels_sprouts,brussels_sprouts,0.84,kg,2,2022
vegetable,pak_choi,pak_choi,3.38,kg,2,2022
vegetable,curly_kale,curly_kale,3.55,kg,2,2022
vegetable,cabbage,red,0.59,kg,2,2022
vegetable,cabbage,savoy,0.48,head,2,2022
vegetable,spring_greens,prepacked,1.13,kg,2,2022
vegetable,cabbage,white,0.42,kg,2,2022
vegetable,cabbage,round_green_other,0.47,head,2,2022
vegetable,carrots,topped_washed,0.48,kg,2,2022
vegetable,cauliflower,all,0.9,head,2,2022
vegetable,celeriac,celeriac,0.69,kg,2,2022
vegetable,chinese_leaf,chinese_leaf,0.97,kg,2,2022
vegetable,cucumbers,cucumbers,0.75,kg,2,2022
vegetable,leeks,trimmed,1.21,kg,2,2022
vegetable,lettuce,butterhead_indoor,0.47,head,2,2022
vegetable,lettuce,little_gem,0.85,twin,2,2022
vegetable,onion,bulb_brown,0.43,kg,2,2022
vegetable,onion,bulb_red,0.56,kg,2,2022
vegetable,swede,swede,0.24,kg,2,2022
vegetable,turnip,turnip,1.4,kg,2,2022
vegetable,parsnips,all_varieties,1.05,kg,2,2022
vegetable,rhubarb,forced,4.82,kg,2,2022
cut_flowers,tulips,tulips,0.27,stem,2,2022
fruit,apples,bramleys_seedling,1.93,kg,1,2022
fruit,apples,coxs_orange_group,1.2,kg,1,2022
fruit,apples,egremont_russet,1.21,kg,1,2022
fruit,apples,braeburn,1.03,kg,1,2022
fruit,apples,gala,1.03,kg,1,2022
fruit,apples,other_late_season,1.25,kg,1,2022
fruit,pears,conference,1.17,kg,1,2022
fruit,pears,doyenne_du_comice,1.05,kg,1,2022
vegetable,beetroot,beetroot,0.5,kg,1,2022
vegetable,brussels_sprouts,brussels_sprouts,0.84,kg,1,2022
vegetable,pak_choi,pak_choi,3,kg,1,2022
vegetable,curly_kale,curly_kale,3.12,kg,1,2022
vegetable,cabbage,red,0.59,kg,1,2022
vegetable,cabbage,savoy,0.47,head,1,2022
vegetable,spring_greens,prepacked,1.03,kg,1,2022
vegetable,cabbage,white,0.43,kg,1,2022
vegetable,cabbage,round_green_other,0.45,head,1,2022
vegetable,carrots,topped_washed,0.46,kg,1,2022
vegetable,cauliflower,all,0.79,head,1,2022
vegetable,celeriac,celeriac,0.69,kg,1,2022
vegetable,chinese_leaf,chinese_leaf,0.97,kg,1,2022
vegetable,leeks,trimmed,1.2,kg,1,2022
vegetable,lettuce,butterhead_indoor,0.46,head,1,2022
vegetable,lettuce,little_gem,0.78,twin,1,2022
vegetable,onion,bulb_brown,0.42,kg,1,2022
vegetable,onion,bulb_red,0.53,kg,1,2022
vegetable,swede,swede,0.23,kg,1,2022
vegetable,turnip,turnip,1.38,kg,1,2022
vegetable,parsnips,all_varieties,1.05,kg,1,2022
vegetable,rhubarb,forced,5.36,kg,1,2022
cut_flowers,tulips,tulips,0.22,stem,1,2022
fruit,apples,bramleys_seedling,2,kg,1,2022
fruit,apples,coxs_orange_group,1.23,kg,1,2022
fruit,apples,egremont_russet,1.29,kg,1,2022
fruit,apples,braeburn,1.02,kg,1,2022
fruit,apples,gala,1.04,kg,1,2022
fruit,apples,other_late_season,1.83,kg,1,2022
fruit,pears,conference,1.19,kg,1,2022
fruit,pears,doyenne_du_comice,1.08,kg,1,2022
vegetable,beetroot,beetroot,0.52,kg,1,2022
vegetable,brussels_sprouts,brussels_sprouts,0.85,kg,1,2022
vegetable,pak_choi,pak_choi,3.34,kg,1,2022
vegetable,curly_kale,curly_kale,3.03,kg,1,2022
vegetable,cabbage,red,0.55,kg,1,2022
vegetable,cabbage,savoy,0.47,head,1,2022
vegetable,spring_greens,prepacked,1.02,kg,1,2022
vegetable,cabbage,white,0.43,kg,1,2022
vegetable,cabbage,round_green_other,0.47,head,1,2022
vegetable,carrots,topped_washed,0.46,kg,1,2022
vegetable,cauliflower,all,0.69,head,1,2022
vegetable,celeriac,celeriac,0.69,kg,1,2022
vegetable,chinese_leaf,chinese_leaf,0.97,kg,1,2022
vegetable,leeks,trimmed,1.13,kg,1,2022
vegetable,lettuce,butterhead_indoor,0.47,head,1,2022
vegetable,lettuce,little_gem,0.79,twin,1,2022
vegetable,onion,bulb_brown,0.42,kg,1,2022
vegetable,onion,bulb_red,0.53,kg,1,2022
vegetable,swede,swede,0.23,kg,1,2022
vegetable,turnip,turnip,1.82,kg,1,2022
vegetable,parsnips,all_varieties,1.04,kg,1,2022
vegetable,rhubarb,forced,5.68,kg,1,2022
cut_flowers,tulips,tulips,0.22,stem,1,2022
fruit,apples,bramleys_seedling,1.91,kg,1,2022
fruit,apples,coxs_orange_group,1.18,kg,1,2022
fruit,apples,egremont_russet,1.13,kg,1,2022
fruit,apples,braeburn,0.96,kg,1,2022
fruit,apples,gala,1,kg,1,2022
fruit,apples,other_late_season,1.87,kg,1,2022
fruit,pears,conference,1.18,kg,1,2022
fruit,pears,doyenne_du_comice,1.07,kg,1,2022
vegetable,beetroot,beetroot,0.52,kg,1,2022
vegetable,brussels_sprouts,brussels_sprouts,0.84,kg,1,2022
vegetable,pak_choi,pak_choi,3.34,kg,1,2022
vegetable,curly_kale,curly_kale,3.37,kg,1,2022
vegetable,cabbage,red,0.57,kg,1,2022
vegetable,cabbage,savoy,0.47,head,1,2022
vegetable,spring_greens,prepacked,0.94,kg,1,2022
vegetable,cabbage,white,0.44,kg,1,2022
vegetable,cabbage,round_green_other,0.48,head,1,2022
vegetable,carrots,topped_washed,0.48,kg,1,2022
vegetable,cauliflower,all,0.68,head,1,2022
vegetable,celeriac,celeriac,0.71,kg,1,2022
vegetable,chinese_leaf,chinese_leaf,0.97,kg,1,2022
vegetable,leeks,trimmed,1.13,kg,1,2022
vegetable,lettuce,butterhead_indoor,0.46,head,1,2022
vegetable,lettuce,little_gem,0.81,twin,1,2022
vegetable,onion,bulb_brown,0.42,kg,1,2022
vegetable,onion,bulb_red,0.6,kg,1,2022
vegetable,swede,swede,0.24,kg,1,2022
vegetable,turnip,turnip,1.86,kg,1,2022
vegetable,parsnips,all_varieties,1.07,kg,1,2022
vegetable,rhubarb,forced,5.48,kg,1,2022
cut_flowers,tulips,tulips,0.29,stem,1,2022
fruit,apples,bramleys_seedling,1.9,kg,1,2022
fruit,apples,coxs_orange_group,1.07,kg,1,2022
fruit,apples,egremont_russet,0.96,kg,1,2022
fruit,apples,braeburn,0.97,kg,1,2022
fruit,apples,gala,0.95,kg,1,2022
fruit,pears,conference,1.3,kg,1,2022
fruit,pears,doyenne_du_comice,0.99,kg,1,2022
vegetable,beetroot,beetroot,0.54,kg,1,2022
vegetable,brussels_sprouts,brussels_sprouts,0.87,kg,1,2022
vegetable,pak_choi,pak_choi,3.25,kg,1,2022
vegetable,curly_kale,curly_kale,3.4,kg,1,2022
vegetable,cabbage,red,0.58,kg,1,2022
vegetable,cabbage,savoy,0.49,head,1,2022
vegetable,spring_greens,prepacked,0.94,kg,1,2022
vegetable,cabbage,white,0.46,kg,1,2022
vegetable,cabbage,round_green_other,0.48,head,1,2022
vegetable,carrots,topped_washed,0.47,kg,1,2022
vegetable,cauliflower,all,0.68,head,1,2022
vegetable,celeriac,celeriac,0.67,kg,1,2022
vegetable,chinese_leaf,chinese_leaf,0.96,kg,1,2022
vegetable,leeks,trimmed,1.15,kg,1,2022
vegetable,lettuce,butterhead_indoor,0.44,head,1,2022
vegetable,lettuce,little_gem,0.8,twin,1,2022
vegetable,onion,bulb_brown,0.46,kg,1,2022
vegetable,onion,bulb_red,0.62,kg,1,2022
vegetable,swede,swede,0.24,kg,1,2022
vegetable,turnip,turnip,1.87,kg,1,2022
vegetable,parsnips,all_varieties,1.05,kg,1,2022
vegetable,rhubarb,forced,4.94,kg,1,2022
cut_flowers,tulips,tulips,0.29,stem,1,2022
fruit,apples,bramleys_seedling,1.69,kg,12,2021
fruit,apples,coxs_orange_group,0.97,kg,12,2021
fruit,apples,egremont_russet,1.06,kg,12,2021
fruit,apples,braeburn,0.84,kg,12,2021
fruit,apples,gala,0.94,kg,12,2021
fruit,apples,other_mid_season,1.04,kg,12,2021
fruit,apples,other_late_season,1.01,kg,12,2021
fruit,pears,conference,0.77,kg,12,2021
fruit,pears,doyenne_du_comice,0.84,kg,12,2021
vegetable,beetroot,beetroot,0.54,kg,12,2021
vegetable,brussels_sprouts,brussels_sprouts,0.87,kg,12,2021
vegetable,pak_choi,pak_choi,2.94,kg,12,2021
vegetable,curly_kale,curly_kale,3.61,kg,12,2021
vegetable,cabbage,red,0.57,kg,12,2021
vegetable,cabbage,savoy,0.56,head,12,2021
vegetable,spring_greens,prepacked,0.96,kg,12,2021
vegetable,cabbage,summer_autumn_pointed,0.62,kg,12,2021
vegetable,cabbage,white,0.48,kg,12,2021
vegetable,cabbage,round_green_other,0.51,head,12,2021
vegetable,carrots,topped_washed,0.45,kg,12,2021
vegetable,cauliflower,all,1.15,head,12,2021
vegetable,celery,all_washed,0.78,kg,12,2021
vegetable,celeriac,celeriac,0.73,kg,12,2021
vegetable,chinese_leaf,chinese_leaf,0.97,kg,12,2021
vegetable,leeks,trimmed,1.15,kg,12,2021
vegetable,lettuce,butterhead_indoor,0.44,head,12,2021
vegetable,lettuce,little_gem,0.77,twin,12,2021
vegetable,onion,bulb_brown,0.4,kg,12,2021
vegetable,onion,bulb_red,0.56,kg,12,2021
vegetable,swede,swede,0.22,kg,12,2021
vegetable,turnip,turnip,1.28,kg,12,2021
vegetable,parsnips,all_varieties,1.13,kg,12,2021
vegetable,tomatoes,vine,1.26,kg,12,2021
cut_flowers,tulips,tulips,0.29,stem,12,2021
fruit,apples,bramleys_seedling,1.58,kg,12,2021
fruit,apples,coxs_orange_group,1.03,kg,12,2021
fruit,apples,egremont_russet,1.1,kg,12,2021
fruit,apples,braeburn,0.86,kg,12,2021
fruit,apples,gala,0.9,kg,12,2021
fruit,apples,other_late_season,1.03,kg,12,2021
fruit,pears,conference,0.93,kg,12,2021
fruit,pears,doyenne_du_comice,0.92,kg,12,2021
fruit,pears,other,0.87,kg,12,2021
vegetable,beetroot,beetroot,0.55,kg,12,2021
vegetable,brussels_sprouts,brussels_sprouts,0.92,kg,12,2021
vegetable,pak_choi,pak_choi,3.03,kg,12,2021
vegetable,curly_kale,curly_kale,3.66,kg,12,2021
vegetable,cabbage,red,0.57,kg,12,2021
vegetable,cabbage,savoy,0.56,head,12,2021
vegetable,spring_greens,prepacked,0.88,kg,12,2021
vegetable,cabbage,summer_autumn_pointed,0.62,kg,12,2021
vegetable,cabbage,white,0.47,kg,12,2021
vegetable,cabbage,round_green_other,0.51,head,12,2021
vegetable,carrots,topped_washed,0.46,kg,12,2021
vegetable,cauliflower,all,1.69,head,12,2021
vegetable,celery,all_washed,0.78,kg,12,2021
vegetable,celeriac,celeriac,0.75,kg,12,2021
vegetable,chinese_leaf,chinese_leaf,1.02,kg,12,2021
vegetable,leeks,trimmed,1.23,kg,12,2021
vegetable,lettuce,butterhead_indoor,0.44,head,12,2021
vegetable,lettuce,little_gem,0.77,twin,12,2021
vegetable,onion,bulb_brown,0.4,kg,12,2021
vegetable,onion,bulb_red,0.58,kg,12,2021
vegetable,swede,swede,0.23,kg,12,2021
vegetable,turnip,turnip,1.46,kg,12,2021
vegetable,parsnips,all_varieties,1.13,kg,12,2021
vegetable,tomatoes,vine,1.23,kg,12,2021
cut_flowers,tulips,tulips,0.29,stem,12,2021
fruit,apples,bramleys_seedling,1.54,kg,12,2021
fruit,apples,coxs_orange_group,1.03,kg,12,2021
fruit,apples,egremont_russet,1.17,kg,12,2021
fruit,apples,braeburn,0.88,kg,12,2021
fruit,apples,gala,0.96,kg,12,2021
fruit,apples,other_late_season,0.84,kg,12,2021
fruit,pears,conference,0.85,kg,12,2021
fruit,pears,doyenne_du_comice,0.95,kg,12,2021
fruit,pears,other,0.78,kg,12,2021
vegetable,beetroot,beetroot,0.56,kg,12,2021
vegetable,brussels_sprouts,brussels_sprouts,0.95,kg,12,2021
vegetable,pak_choi,pak_choi,2.87,kg,12,2021
vegetable,curly_kale,curly_kale,3.47,kg,12,2021
vegetable,cabbage,red,0.56,kg,12,2021
vegetable,cabbage,savoy,0.56,head,12,2021
vegetable,spring_greens,prepacked,0.87,kg,12,2021
vegetable,cabbage,summer_autumn_pointed,0.64,kg,12,2021
vegetable,cabbage,white,0.47,kg,12,2021
vegetable,cabbage,round_green_other,0.5,head,12,2021
vegetable,carrots,topped_washed,0.46,kg,12,2021
vegetable,cauliflower,all,1.49,head,12,2021
vegetable,celery,all_washed,0.78,kg,12,2021
vegetable,celeriac,celeriac,0.77,kg,12,2021
vegetable,chinese_leaf,chinese_leaf,0.95,kg,12,2021
vegetable,coriander,coriander,4.3,kg,12,2021
vegetable,leeks,trimmed,1.17,kg,12,2021
vegetable,lettuce,butterhead_indoor,0.45,head,12,2021
vegetable,lettuce,little_gem,0.81,twin,12,2021
vegetable,onion,bulb_brown,0.38,kg,12,2021
vegetable,onion,bulb_red,0.58,kg,12,2021
vegetable,swede,swede,0.23,kg,12,2021
vegetable,turnip,turnip,1.4,kg,12,2021
vegetable,parsnips,all_varieties,1.14,kg,12,2021
vegetable,spinach_leaf,loose_bunches,1.1,kg,12,2021
cut_flowers,tulips,tulips,0.3,stem,12,2021
fruit,apples,bramleys_seedling,1.59,kg,11,2021
fruit,apples,coxs_orange_group,1.2,kg,11,2021
fruit,apples,egremont_russet,1.24,kg,11,2021
fruit,apples,braeburn,1.06,kg,11,2021
fruit,apples,gala,1.01,kg,11,2021
fruit,apples,other_mid_season,0.8,kg,11,2021
fruit,apples,other_late_season,0.9,kg,11,2021
fruit,pears,conference,1.02,kg,11,2021
fruit,pears,doyenne_du_comice,1.02,kg,11,2021
fruit,raspberries,raspberries,4.8,kg,11,2021
vegetable,beetroot,beetroot,0.52,kg,11,2021
vegetable,brussels_sprouts,brussels_sprouts,0.91,kg,11,2021
vegetable,pak_choi,pak_choi,2.75,kg,11,2021
vegetable,curly_kale,curly_kale,3.12,kg,11,2021
vegetable,cabbage,red,0.57,kg,11,2021
vegetable,cabbage,savoy,0.51,head,11,2021
vegetable,spring_greens,prepacked,0.87,kg,11,2021
vegetable,cabbage,summer_autumn_pointed,0.6,kg,11,2021
vegetable,cabbage,white,0.47,kg,11,2021
vegetable,cabbage,round_green_other,0.47,head,11,2021
vegetable,calabrese,calabrese,1.5,kg,11,2021
vegetable,capsicum,green,1,kg,11,2021
vegetable,capsicum,red,0.75,kg,11,2021
vegetable,carrots,topped_washed,0.46,kg,11,2021
vegetable,cauliflower,all,1.03,head,11,2021
vegetable,celery,all_washed,0.76,kg,11,2021
vegetable,celeriac,celeriac,0.69,kg,11,2021
vegetable,chinese_leaf,chinese_leaf,0.95,kg,11,2021
vegetable,coriander,coriander,1.5,kg,11,2021
vegetable,leeks,trimmed,1.19,kg,11,2021
vegetable,lettuce,butterhead_indoor,0.45,head,11,2021
vegetable,lettuce,little_gem,0.83,twin,11,2021
vegetable,onion,bulb_brown,0.4,kg,11,2021
vegetable,onion,bulb_red,0.56,kg,11,2021
vegetable,swede,swede,0.23,kg,11,2021
vegetable,turnip,turnip,1.64,kg,11,2021
vegetable,parsnips,all_varieties,1.08,kg,11,2021
vegetable,spinach_leaf,loose_bunches,1.1,kg,11,2021
fruit,apples,bramleys_seedling,1.6,kg,11,2021
fruit,apples,coxs_orange_group,1.14,kg,11,2021
fruit,apples,egremont_russet,1.19,kg,11,2021
fruit,apples,braeburn,1.09,kg,11,2021
fruit,apples,gala,1.02,kg,11,2021
fruit,apples,other_early_season,1.06,kg,11,2021
fruit,apples,other_late_season,0.66,kg,11,2021
fruit,pears,conference,1.12,kg,11,2021
fruit,pears,doyenne_du_comice,1.06,kg,11,2021
fruit,strawberries,strawberries,8.75,kg,11,2021
vegetable,beetroot,beetroot,0.53,kg,11,2021
vegetable,brussels_sprouts,brussels_sprouts,0.95,kg,11,2021
vegetable,pak_choi,pak_choi,2.69,kg,11,2021
vegetable,curly_kale,curly_kale,3.22,kg,11,2021
vegetable,cabbage,red,0.56,kg,11,2021
vegetable,cabbage,savoy,0.52,head,11,2021
vegetable,spring_greens,prepacked,0.85,kg,11,2021
vegetable,cabbage,summer_autumn_pointed,0.6,kg,11,2021
vegetable,cabbage,white,0.47,kg,11,2021
vegetable,cabbage,round_green_other,0.47,head,11,2021
vegetable,calabrese,calabrese,1.47,kg,11,2021
vegetable,capsicum,red,1,kg,11,2021
vegetable,capsicum,elongated,1.7,kg,11,2021
vegetable,carrots,topped_washed,0.46,kg,11,2021
vegetable,cauliflower,all,0.95,head,11,2021
vegetable,celery,all_washed,0.78,kg,11,2021
vegetable,celeriac,celeriac,0.69,kg,11,2021
vegetable,chinese_leaf,chinese_leaf,0.89,kg,11,2021
vegetable,coriander,coriander,2.31,kg,11,2021
vegetable,cucumbers,cucumbers,0.9,kg,11,2021
vegetable,leeks,trimmed,1.22,kg,11,2021
vegetable,lettuce,butterhead_indoor,0.45,head,11,2021
vegetable,lettuce,cos,0.58,head,11,2021
vegetable,lettuce,little_gem,0.81,twin,11,2021
vegetable,onion,bulb_brown,0.43,kg,11,2021
vegetable,onion,bulb_red,0.57,kg,11,2021
vegetable,swede,swede,0.24,kg,11,2021
vegetable,turnip,turnip,1.54,kg,11,2021
vegetable,parsnips,all_varieties,1.09,kg,11,2021
vegetable,spinach_leaf,loose_bunches,1.21,kg,11,2021
vegetable,tomatoes,round,0.57,kg,11,2021
vegetable,tomatoes,vine,1.02,kg,11,2021
vegetable,tomatoes,cherry,3.3,kg,11,2021
fruit,apples,bramleys_seedling,1.49,kg,11,2021
fruit,apples,coxs_orange_group,1.09,kg,11,2021
fruit,apples,egremont_russet,1.14,kg,11,2021
fruit,apples,braeburn,1.01,kg,11,2021
fruit,apples,gala,1.01,kg,11,2021
fruit,apples,other_early_season,0.95,kg,11,2021
fruit,pears,conference,1.04,kg,11,2021
fruit,pears,doyenne_du_comice,1.08,kg,11,2021
fruit,raspberries,raspberries,4.4,kg,11,2021
fruit,strawberries,strawberries,6.24,kg,11,2021
vegetable,beetroot,beetroot,0.51,kg,11,2021
vegetable,brussels_sprouts,brussels_sprouts,0.98,kg,11,2021
vegetable,pak_choi,pak_choi,2.72,kg,11,2021
vegetable,curly_kale,curly_kale,3.26,kg,11,2021
vegetable,cabbage,red,0.55,kg,11,2021
vegetable,cabbage,savoy,0.5,head,11,2021
vegetable,spring_greens,prepacked,0.84,kg,11,2021
vegetable,cabbage,summer_autumn_pointed,0.55,kg,11,2021
vegetable,cabbage,white,0.46,kg,11,2021
vegetable,cabbage,round_green_other,0.46,head,11,2021
vegetable,calabrese,calabrese,1.49,kg,11,2021
vegetable,carrots,topped_washed,0.44,kg,11,2021
vegetable,cauliflower,all,0.83,head,11,2021
vegetable,celery,all_washed,0.76,kg,11,2021
