"name","style","abv","ibu","ounces"
"Alter Ego","American Black Ale",0.055,0,12
"Divided Sky","American IPA",0.065,0,12
"Resurrected","American IPA",0.065,0,12
"Contact High","American Pale Wheat Ale",0.05,28,12
"Galaxyfest","American IPA",0.065,0,16
"Citrafest","American IPA",0.05,45,16
"Barn Yeti","Belgian Strong Dark Ale",0.09,0,16
"Scarecrow","American IPA",0.069,65,16
"Ironman","English Strong Ale",0.09,50,16
"Honey Kolsch","Kölsch",0.046,15,16
"Copperhead Amber","Belgian Dark Ale",0.052,18,16
"Rude Parrot IPA","American IPA",0.059,75,16
"British Pale Ale (2010)","English Pale Ale",0.054,30,16
"British Pale Ale","English Pale Ale",0.054,30,16
"Ballz Deep Double IPA","American Double / Imperial IPA",0.084,82,16
"Wolfman's Berliner","Berliner Weissbier",0.038,0,12
"Colorado Native","American Amber / Red Lager",0.055,26,12
"Colorado Native (2011)","American Amber / Red Lager",0.055,26,12
"Jockamo IPA","American IPA",0.065,52,12
"Purple Haze","Fruit / Vegetable Beer",0.042,13,12
"Abita Amber","American Amber / Red Lager",0.045,17,12
"Citra Ass Down","American IPA",0.082,68,16
"The Brown Note","American Brown Ale",0.05,20,16
"Citra Ass Down","American Double / Imperial IPA",0.08,68,16
"London Balling","English Barleywine",0.125,80,16
"35 K","Milk / Sweet Stout",0.077,25,16
"A Beer","American Pale Ale (APA)",0.042,42,16
"Rules are Rules","German Pilsener",0.05,25,16
"Flesh Gourd'n","Pumpkin Ale",0.066,21,16
"Sho'nuff","Belgian Pale Ale",0.04,13,16
"Bloody Show","American Pilsner",0.055,17,16
"Rico Sauvin","American Double / Imperial IPA",0.076,68,16
"Coq de la Marche","Saison / Farmhouse Ale",0.051,38,16
"Kamen Knuddeln","American Wild Ale",0.065,0,16
"Pile of Face","American IPA",0.06,65,16
"The Brown Note","English Brown Ale",0.05,20,16
"Maylani's Coconut Stout","American Stout",0.053,35,16
"Oatmeal PSA","American Pale Ale (APA)",0.05,35,16
"Pre Flight Pilsner","American Pilsner",0.052,33,16
"P-Town Pilsner","American Pilsner",0.04,20,12
"Klickitat Pale Ale","American Pale Ale (APA)",0.053,36,12
"Yellow Wolf Imperial IPA","American Double / Imperial IPA",0.082,103,12
"Freeride APA","American Pale Ale (APA)",0.053,40,12
"Alaskan Amber","Altbier",0.053,18,12
"Hopalicious","American Pale Ale (APA)",0.057,0,12
"Kentucky Kölsch","Kölsch",0.043,0,16
"Kentucky IPA","American IPA",0.065,0,16
"Dusty Trail Pale Ale","American Pale Ale (APA)",0.054,0,16
"Damnesia","American IPA",0.062,0,16
"Desolation IPA","American IPA",0.062,43,16
"Liberty Ale","American IPA",0.059,0,12
"IPA","American IPA",0.065,0,12
"Summer Wheat","American Pale Wheat Ale",0.045,0,12
"California Lager","American Amber / Red Lager",0.049,0,12
"Brotherhood Steam","California Common / Steam Beer",0.056,0,12
"Blood Orange Gose","Gose",0.042,0,12
"Keebarlin' Pale Ale","American Pale Ale (APA)",0.042,0,12
"the Kimmie, the Yink and the Holy Gose","Gose",0.048,0,12
"Fall Hornin'","Pumpkin Ale",0.06,0,12
"Barney Flats Oatmeal Stout","Oatmeal Stout",0.057,13,12
"Summer Solstice","Cream Ale",0.056,4,12
"Hop Ottin' IPA","American IPA",0.07,80,12
"Boont Amber Ale","American Amber / Red Ale",0.058,15,12
"Barney Flats Oatmeal Stout","Oatmeal Stout",0.057,13,12
"El Steinber Dark Lager","Vienna Lager",0.055,25,16
"Boont Amber Ale (2010)","American Amber / Red Ale",0.058,15,12
"Summer Solstice Cerveza Crema (2009)","Cream Ale",0.056,4,12
"Barney Flats Oatmeal Stout (2012)","Oatmeal Stout",0.057,13,12
"Winter Solstice","Winter Warmer",0.069,6,12
"Hop Ottin' IPA (2011)","American IPA",0.07,80,12
"Boont Amber Ale (2011)","American Amber / Red Ale",0.058,15,12
"Summer Solstice (2011)","Cream Ale",0.056,4,12
"Poleeko Gold Pale Ale (2009)","American Pale Ale (APA)",0.055,28,12
"Charlie's Rye IPA","American IPA",0.06,0,16
"River Pig Pale Ale","American Pale Ale (APA)",0.054,0,16
"Oaky's Oatmeal Stout","Oatmeal Stout",0.047,0,16
"Angry Orchard Apple Ginger","Cider",0.05,0,16
"Angry Orchard Crisp Apple","Cider",0.05,0,16
"Angry Orchard Crisp Apple","Cider",0.05,0,12
"Golden One","Belgian Pale Ale",0.068,0,12
"Arjuna","Witbier",0.06,0,12
"Uroboros","American Stout",0.085,0,12
"Long Leaf","American IPA",0.071,75,16
"Honey Badger Blonde","American Blonde Ale",0.047,19,16
"Porter (a/k/a Black Gold Porter)","American Porter",0.06,23,16
"Sky High Rye","American Pale Ale (APA)",0.06,55,12
"Whitsun","American Pale Wheat Ale",0.062,17,12
"On-On Ale (2008)","American Pale Ale (APA)",0.052,0,12
"Quakertown Stout","American Double / Imperial Stout",0.092,50,12
"Greenbelt Farmhouse Ale","Saison / Farmhouse Ale",0.051,20,12
"Mo's Gose","Gose",0.052,10,16
"Green Bullet Organic India Pale Ale","American IPA",0.07,45,16
"Rocket Girl","Kölsch",0.032,27,12
"Ninja Porter","American Porter",0.053,26,12
"Shiva IPA","American IPA",0.06,69,12
"Aslan Kölsch","Kölsch",0.048,0,16
"Aslan IPA","American IPA",0.077,0,16
"Aslan Amber","American Amber / Red Ale",0.077,0,16
"This Season's Blonde","American Blonde Ale",0.056,27,12
"Independence Pass Ale","American IPA",0.07,67,12
"Trolley Stop Stout","American Stout",0.057,40,12
"Bitter Bitch Imperial IPA","American Double / Imperial IPA",0.082,138,12
"Poop Deck Porter","American Porter",0.062,35,12
"Old Red Beard Amber Ale","American Amber / Red Ale",0.06,35,12
"Hop A-Peel","American Double / Imperial IPA",0.075,115,16
"Vanilla Java Porter","American Porter",0.055,12,16
"Michelada","Fruit / Vegetable Beer",0.052,0,16
"Dirty Blonde Ale","American Blonde Ale",0.045,8,12
"Grand Circus IPA","American IPA",0.05,62,12
"Atwater's Lager","Munich Helles Lager",0.05,12,12
"Heavy Machinery IPA Series #1: Heavy Fist","American Black Ale",0.07,0,16
"Fire Eagle IPA","American IPA",0.062,0,12
"Peacemaker","American Pale Ale (APA)",0.051,0,12
"Pearl-Snap","German Pilsener",0.053,0,12
"Black Thunder","Schwarzbier",0.052,0,12
"Raja","American Double / Imperial IPA",0.08,0,12
"Perzik Saison","Saison / Farmhouse Ale",0.064,0,12
"Avery Joe’s Premium American Pilsner","German Pilsener",0.047,42,12
"White Rascal","Witbier",0.056,10,12
"Avery India Pale Ale","American IPA",0.063,69,12
"Ellie’s Brown Ale","American Brown Ale",0.055,17,12
"Pumpkin Beast","Pumpkin Ale",0.062,17,12
"OktoberBeast","Märzen / Oktoberfest",0.072,22,12
"Mad Beach","American Pale Wheat Ale",0.048,23,12
"Hog Wild India Pale Ale","American IPA",0.067,0,12
"Devils Tramping Ground Tripel","Tripel",0.092,5,12
"Hot Rod Red","American Amber / Red Ale",0.061,41,12
"Palate Mallet","American Double / Imperial IPA",0.086,0,12
"Back East Porter","American Porter",0.06,0,12
"Back East Golden Ale","American Blonde Ale",0.049,0,12
"Misty Mountain IPA","American IPA",0.07,0,12
"Back East Ale","American Amber / Red Ale",0.05,0,12
"Truck Stop Honey Brown Ale","English Brown Ale",0.06,0,12
"Naked Pig Pale Ale","American Pale Ale (APA)",0.06,43,12
"Topcutter India Pale Ale","American IPA",0.068,70,12
"Field 41 Pale Ale","American Pale Ale (APA)",0.044,38,12
"Grapefruit Sculpin","American IPA",0.07,0,12
"Even Keel","American IPA",0.038,40,12
"Ballast Point Pale Ale","Kölsch",0.052,23,12
"Big Eye India Pale Ale","American IPA",0.07,75,12
"Longfin Lager","Munich Helles Lager",0.046,0,12
"Sculpin IPA","American IPA",0.07,70,12
"All Nighter Ale","Extra Special / Strong Bitter (ESB)",0.045,0,12
"Banner American Rye","Rye Beer",0.045,20,12
"Banner American Ale","American Amber / Red Ale",0.035,45,12
"Thai.p.a","American IPA",0.07,46,16
"Barrio Blanco","American IPA",0.06,60,12
"Barrio Tucson Blonde","American Blonde Ale",0.045,0,12
"Hop in the ‘Pool Helles","American Pilsner",0.049,22,12
"Ultra Gnar Gnar IPA","American IPA",0.067,60,12
"In-Tents India Pale Lager","American Pale Lager",0.068,62,12
"Lost Meridian Wit","Witbier",0.05,20,12
"Celestial Meridian Cascadian Dark Lager","Euro Dark Lager",0.051,45,12
"Wagon Party","California Common / Steam Beer",0.054,55,12
"Sky-Five","American IPA",0.067,70,12
"Stargrazer","Schwarzbier",0.05,28,12
"Wonderstuff","German Pilsener",0.054,48,12
"Tarnation California-Style Lager","California Common / Steam Beer",0.053,0,12
"On the Count of 3 (2015)","Hefeweizen",0.07,42,16
"Summer Swelter","American Pale Wheat Ale",0.047,0,12
"Phantom Punch Winter Stout","Foreign / Export Stout",0.068,0,12
"Hayride Autumn Ale","Rye Beer",0.066,0,12
"Celsius Summer Ale (2012)","American Pale Wheat Ale",0.047,0,12
"Amber Road","American Amber / Red Ale",0.055,35,12
"Pamola Xtra Pale Ale","American Pale Ale (APA)",0.049,28,12
"Stowaway IPA","American IPA",0.069,69,12
"Hoptopus Double IPA","American Double / Imperial IPA",0.088,108,16
"Watermelon Ale","Fruit / Vegetable Beer",0.05,10,12
"Fenway American Pale Ale","American Pale Ale (APA)",0.058,45,12
"Back Bay IPA","American IPA",0.068,85,12
"Bunker Hill Blueberry Ale","Other",0.048,16,12
"Oberon","American Pale Wheat Ale",0.058,0,12
"Smitten","Rye Beer",0.06,0,16
"Winter White","Witbier",0.05,0,16
"Oberon","American Pale Wheat Ale",0.058,0,16
"Two Hearted","American IPA",0.07,0,16
"Best Brown","American Brown Ale",0.058,0,16
"Moar","English India Pale Ale (IPA)",0.044,44,12
"Uber Lupin Schwarz IPA","American Double / Imperial IPA",0.083,0,16
"Nordic Blonde","American Blonde Ale",0.057,27,12
"Cold Press","American Black Ale",0.06,0,12
"Harness the Winter","American IPA",0.072,87,12
"14° ESB","Extra Special / Strong Bitter (ESB)",0.056,32,12
"Bent Hop Golden IPA","American IPA",0.062,68,12
"Bent Paddle Black Ale","American Black Ale",0.06,34,12
"Venture Pils","German Pilsener",0.05,38,12
"Lost Sailor IPA","English India Pale Ale (IPA)",0.055,40,12
"Steel Rail Extra Pale Ale","American Pale Ale (APA)",0.053,20,12
"La Frontera Premium IPA","American IPA",0.078,0,12
"Tejas Lager","Czech Pilsener",0.047,0,12
"Number 22 Porter","American Porter",0.064,0,12
"Big Bend Hefeweizen","Hefeweizen",0.056,0,12
"Terlingua Gold","American Blonde Ale",0.06,0,12
"Aprè Shred","American Strong Ale",0.081,17,16
"Hemlock Double IPA","American Double / Imperial IPA",0.095,104,12
"West Portal Colorado Common Summer Ale","California Common / Steam Beer",0.041,0,16
"Disconnected Red","American Amber / Red Ale",0.067,85,16
"Big Elm IPA","American IPA",0.07,0,12
"Gerry Dog Stout","American Stout",0.065,0,12
"413 Farmhouse Ale","Saison / Farmhouse Ale",0.06,0,12
"Dark Star","American Stout",0.08,54,16
"Ryecoe","American IPA",0.062,0,16
"Blueberry Blonde","Fruit / Vegetable Beer",0.06,0,12
"Galaxy IPA","American IPA",0.075,60,16
"Big River Pilsner","Czech Pilsener",0.05,32,12
"House Brand IPA","American IPA",0.06,55,12
"Big Sky IPA","American IPA",0.062,65,12
"Scape Goat Pale Ale","English Pale Ale",0.05,40,12
"Montana Trout Slayer Ale","American Pale Wheat Ale",0.05,35,12
"Moose Drool Brown Ale","American Brown Ale",0.051,26,12
"Powder Hound Winter Ale","English Strong Ale",0.072,60,12
"Moose Drool Brown Ale (2011)","American Brown Ale",0.051,26,12
"Montana Trout Slayer Ale (2012)","American Pale Wheat Ale",0.05,35,12
"Big Sky IPA (2012)","American IPA",0.062,65,12
"Summer Honey","American Blonde Ale",0.047,0,12
"Scape Goat Pale Ale (2010)","English Pale Ale",0.05,40,12
"Montana Trout Slayer Ale (2009)","American Pale Wheat Ale",0.05,35,12
"Moose Drool Brown Ale (2009)","American Brown Ale",0.051,26,12
"Arcus IPA","American IPA",0.069,81,12
"Wavemaker","American Amber / Red Ale",0.058,38,12
"Jack Pine Savage","American Pale Ale (APA)",0.053,43,16
"Forest Fire Imperial Smoked Rye","Rye Beer",0.099,85,16
"Bad Axe Imperial IPA","American Double / Imperial IPA",0.098,76,16
"Morning Wood","Oatmeal Stout",0.055,35,16
"Bark Bite IPA","American IPA",0.066,50,16
"Jalapeno Pale Ale","American Pale Ale (APA)",0.055,45,16
"Blown Out Brown","American Brown Ale",0.052,0,12
"Single Hop Ale","American Pale Ale (APA)",0.063,0,12
"Sawtooth Ale","American Blonde Ale",0.054,0,12
"Saucy Intruder","Rye Beer",0.072,75,16
"Deception","American Blonde Ale",0.045,16,12
"Blackmarket Rye IPA","American IPA",0.075,35,12
"Black Market Hefeweizen","Hefeweizen",0.05,8,12
"Aftermath Pale Ale","American Pale Ale (APA)",0.058,44,12
"American India Red Ale","American Strong Ale",0.071,83,12
"American Red Porter","American Porter",0.071,45,12
"American Red Saison","Saison / Farmhouse Ale",0.078,34,12
"Colorado Red Ale","American Amber / Red Ale",0.066,44,12
"Saddle Bronc Brown Ale","American Brown Ale",0.048,16,12
"Bomber Mountain Amber Ale","American Amber / Red Ale",0.046,20,12
"Flying Sailor","Rye Beer",0.073,0,12
"Nordskye","American IPA",0.048,47,12
"North Third Stout","Foreign / Export Stout",0.06,30,12
"Honey Lav","American Pale Wheat Ale",0.052,0,12
"Coconut Brown Ale","American Brown Ale",0.068,0,12
"51K IPA","American IPA",0.07,51,12
"Grand Rabbits","Cream Ale",0.055,0,12
"1800 Big Log Wheat (2012)","American Pale Wheat Ale",0.05,0,12
"Double Play Pilsner","American Pilsner",NA,0,12
"Brewerhood Brown Ale","American Brown Ale",0.055,0,12
"Last Call Imperial Amber Ale","American Amber / Red Ale",0.08,0,12
"Pernicious Double IPA","American Double / Imperial IPA",0.096,0,12
"6-4-3 Double Play Pilsner","German Pilsener",0.052,0,12
"N Street Drive-In 50th Anniversary IPA","American Double / Imperial IPA",NA,0,12
"467 Ethan's Stout","American Stout",0.05,0,12
"1335 Wicked Snout","Saison / Farmhouse Ale",0.064,0,12
"543 Skull Creek Fresh Hopped Pale Ale","American Pale Ale (APA)",0.045,0,12
"1327 Pod's ESB","Extra Special / Strong Bitter (ESB)",0.056,37,12
"1327 Pod's ESB","Extra Special / Strong Bitter (ESB)",0.056,37,12
"1327 Pod's ESB","Extra Special / Strong Bitter (ESB)",0.056,37,12
"834 Happy As Ale","American Pale Ale (APA)",0.046,35,12
"Yellow Collar","Mead",0.059,0,12
"Green Collar","Mead",0.059,0,12
"Quarter Mile Double IPA","American Double / Imperial IPA",0.08,80,12
"Full Nelson Pale Ale","American Pale Ale (APA)",0.059,60,12
"Steel Wheels ESB","Extra Special / Strong Bitter (ESB)",0.065,30,12
"Blue Mountain Classic Lager","Euro Pale Lager",0.053,22,12
"Full Nelson Pale Ale (2010)","American Pale Ale (APA)",0.059,60,12
"Kölsch 151","Kölsch",0.049,16,12
"Professor Black","American Stout",NA,0,12
"Little Boss","American Pale Wheat Ale",NA,0,12
"Van Dayum!","American Amber / Red Ale",NA,0,12
"Spirit Animal","American Pale Ale (APA)",NA,0,12
"Toxic Sludge","American Black Ale",0.07,0,16
"Blue Point White IPA","American White IPA",0.06,40,12
"Blue Point Summer Ale","American Blonde Ale",0.044,16,12
"Toasted Lager","Vienna Lager",0.055,28,12
"Bohemian Export Lager","Dortmunder / Export Lager",0.06,0,12
"Altus Bohemes Altbier","Altbier",0.053,0,12
"Cherny Bock","Schwarzbier",0.04,0,12
"Czech Pilsner","Czech Pilsener",0.05,0,12
"Viennese Lager","Vienna Lager",0.05,0,12
"Mad Manatee IPA","American IPA",0.065,0,12
"Killer Whale Cream Ale","Cream Ale",0.055,0,12
"Duke's Cold Nose Brown Ale","American Brown Ale",0.06,0,12
"Longhop IPA","American IPA",0.042,30,16
"Lucky Buck","Irish Dry Stout",0.04,34,16
"Bomb Lager (New Recipe)","Munich Helles Lager",0.051,0,12
"Bomb Lager (Old Recipe)","Munich Helles Lager",0.045,27,12
"Firestarter India Pale Ale","American IPA",0.066,72,12
"Kilt Dropper Scotch Ale","Scotch Ale / Wee Heavy",0.075,22,16
"Wood Splitter Pilsner","Czech Pilsener",0.048,30,16
"Gyptoberfest","Märzen / Oktoberfest",0.056,26,12
"Farmer Wirtz India Pale Ale","English India Pale Ale (IPA)",0.07,94,16
"Slow & Steady Golden Ale","American Blonde Ale",0.047,0,12
"Pink-I Raspberry IPA","American IPA",0.068,0,16
"Moe's Original Bar B Que 'Bama Brew Golden Ale","American Blonde Ale",0.047,0,12
"Live Local Golden Ale","American Blonde Ale",0.047,0,12
"Screaming Eagle Special Ale ESB","Extra Special / Strong Bitter (ESB)",0.048,38,12
"Dirtbag Dunkel","Munich Dunkel Lager",0.049,0,16
"Kindler Pale Ale","American Pale Ale (APA)",0.053,45,12
"Mistress Winter Wheat","Winter Warmer",0.064,0,12
"Tent Pole Vanilla Porter","American Porter",0.061,0,16
"Awry Rye Pale Ale","American Pale Ale (APA)",0.058,0,12
"Demshitz Brown Ale","American Brown Ale",0.058,0,12
"Wood Splitter Pilsner (2012)","Czech Pilsener",0.048,0,12
"Brush Creek Blonde","American Blonde Ale",0.048,0,16
"Firestarter India Pale Ale","American IPA",0.066,72,16
"Noche Dulce","American Porter",0.071,16,16
"Porch Rocker","Radler",0.045,8,12
"Rebel IPA","American IPA",0.065,45,16
"Cold Snap","Witbier",0.055,0,12
"Samuel Adams Winter Lager","Bock",0.056,0,12
"Boston Lager","Vienna Lager",0.049,30,16
"Boston Lager","Vienna Lager",0.049,30,12
"Samuel Adams Octoberfest","Märzen / Oktoberfest",0.053,15,12
"Samuel Adams Summer Ale","American Pale Wheat Ale",0.053,7,12
"Boston Lager","Vienna Lager",0.049,30,12
"Hazed & Infused","American Pale Ale (APA)",0.049,35,12
"Hoopla Pale Ale","American Pale Ale (APA)",0.057,35,12
"Hazed & Infused (2010)","American Pale Ale (APA)",0.049,35,12
"Heavy Lifting","American IPA",0.062,80,12
"1492","American Pale Ale (APA)",0.065,0,12
"Mango Ginger","American IPA",0.058,0,12
"Passenger","English Dark Mild Ale",0.047,0,12
"Plum St. Porter","American Porter",0.06,52,12
"Plum St. Porter","American Porter",0.057,52,12
"Bozone HopZone IPA","American IPA",0.07,80,12
"Bozone Hefe Weizen","Hefeweizen",0.06,25,12
"Bozone Select Amber Ale","American Amber / Red Ale",0.055,0,12
"Evil Owl","American Amber / Red Ale",0.052,40,12
"Post Time Kölsch","Kölsch",0.05,0,16
"Agave Wheat","American Pale Wheat Ale",0.042,9,12
"SummerBright Ale","American Pale Wheat Ale",0.045,15,12
"Lucky U IPA","American IPA",0.062,68,12
"Avalanche Ale","American Amber / Red Ale",0.054,19,12
"You're My Boy, Blue","Fruit / Vegetable Beer",0.05,0,12
"Last Stop IPA","American IPA",0.072,60,12
"Rollin Dirty Red Ale","Irish Red Ale",0.05,21,12
"Are Wheat There Yet?","American Pale Wheat Ale",0.055,28,12
"Insert Hop Reference","American Pale Ale (APA)",0.058,0,16
"Manitou Amber","American Amber / Red Ale",0.053,0,16
"Belfort","Saison / Farmhouse Ale",0.067,0,16
"Star Runner","Belgian Pale Ale",0.06,0,16
"Tart Side of the Barrel","American Double / Imperial Stout",0.098,0,16
"Linnaeus Mango IPA","American IPA",0.06,0,16
"Beasts A'Burnin'","Rauchbier",0.07,0,16
"Verdun","Bière de Garde",0.077,0,16
"Barrel Aged Triomphe","Belgian IPA",0.065,0,16
"Cherry Doppelbock","Doppelbock",0.065,0,16
"Tropical Saison","Saison / Farmhouse Ale",0.065,0,16
"Beach Patrol","Witbier",0.065,0,16
"Nuit Serpent","Belgian IPA",0.05,0,16
"Paris","Saison / Farmhouse Ale",0.09,0,16
"The Grand Army","Belgian IPA",0.055,0,16
"Acidulated Trip","Saison / Farmhouse Ale",0.059,0,16
"Root Stock","Rye Beer",0.066,0,16
"Mind Games","Dunkelweizen",0.041,0,16
"Sous Chef","Belgian Strong Pale Ale",0.082,0,16
"Dubbelicious","Dubbel",0.065,0,16
"Psychopomp","Belgian Dark Ale",0.062,0,16
"Fat Paczki","Belgian Dark Ale",NA,0,16
"Earth-Like Planets","Belgian Pale Ale",NA,0,16
"Ski Patrol","Witbier",0.061,0,16
"Viking Ice Hole","Oatmeal Stout",0.063,0,16
"Rye Porter","American Porter",0.056,0,16
"Wizard Burial Ground","Quadrupel (Quad)",0.099,0,16
"Smoky Wheat","Rauchbier",0.051,0,16
"BRIPA","Belgian IPA",0.062,0,16
"Mela","Belgian Dark Ale",0.062,0,16
"W.I.P.A Snappa","Belgian IPA",0.053,0,16
"Pepper in the Rye","Rye Beer",0.063,0,16
"Moe Lasses'","American Stout",0.064,0,16
"Pumpkin Tart","Fruit / Vegetable Beer",0.07,0,16
"Undertaker","Belgian Dark Ale",0.067,0,16
"Undertaker (2014)","Belgian Dark Ale",0.067,0,16
"Coq D'Or","Belgian Pale Ale",0.05,0,16
"North French","Bière de Garde",0.06,0,16
"Agent a Deux","Belgian Dark Ale",0.065,0,16
"Belgian Wit","Witbier",0.045,0,16
"Pothole Stout","American Stout",0.063,0,16
"Tree Bucket","Belgian IPA",0.093,0,16
"Le Flaneur Ale","American Wild Ale",0.073,0,16
"Maize & Blueberry","Fruit / Vegetable Beer",0.056,0,16
"Trebuchet Double IPA","American Double / Imperial IPA",0.093,0,16
"Contemplation","Bière de Garde",0.065,0,16
"Black Rabbit","American Black Ale",0.05,0,16
"Zaison","Saison / Farmhouse Ale",0.09,0,16
"Vivant Tripel","Tripel",0.082,0,16
"Tart Side of the Moon","Belgian Dark Ale",0.098,0,16
"Big Red Coq","American Amber / Red Ale",0.06,0,16
"Hubris Quadrupel Anniversary Ale","Quadrupel (Quad)",0.099,0,16
"Plow Horse Belgian Style Imperial Stout","American Double / Imperial Stout",0.095,0,16
"Escoffier Bretta Ale","American Wild Ale",0.092,0,16
"Contemplation (2012)","Bière de Garde",0.065,0,16
"Vivant Belgian Style Imperial Stout (2012)","Russian Imperial Stout",0.099,0,16
"Big Red Coq (2012)","American Amber / Red Ale",0.062,0,16
"Zaison (2012)","Saison / Farmhouse Ale",0.09,0,16
"Vivant Tripel (2012)","Tripel",0.092,0,16
"Trebuchet Double IPA (2012)","Belgian IPA",0.097,0,16
"Kludde","Belgian Strong Dark Ale",0.085,0,16
"Farm Hand","Saison / Farmhouse Ale",0.055,0,16
"Solitude","Belgian Pale Ale",0.06,0,16
"Triomphe","Belgian IPA",0.065,0,16
"Tampa Pale Ale","American Pale Ale (APA)",NA,0,12
"Orange Grove Wheat Ale","American Pale Wheat Ale",NA,0,12
"Broad Brook Ale","American Amber / Red Ale",0.061,0,16
"Northern Lights Amber Ale","American Amber / Red Ale",0.05,15,12
"Polar Pale Ale","American Pale Ale (APA)",0.052,17,12
"Chugach Session Ale","Cream Ale",0.048,0,12
"Fairweather IPA","American IPA",0.061,64,12
"East India Pale Ale","English India Pale Ale (IPA)",0.068,47,16
"Brooklyn Summer Ale","English Pale Mild Ale",0.045,0,12
"East India Pale Ale","English India Pale Ale (IPA)",0.068,47,12
"Brooklyn Summer Ale (2011)","English Pale Mild Ale",0.045,0,12
"Brooklyn Lager (16 oz.)","American Amber / Red Lager",0.052,0,16
"Brooklyn Lager (12 oz.)","American Amber / Red Lager",0.052,0,12
"Tour de Nez Belgian IPA (Current)","Belgian IPA",0.08,0,16
"Roler Bock (Current)","Maibock / Helles Bock",NA,0,16
"Black Adder IBA (Current)","American Black Ale",0.073,85,16
"Very Noddy Lager (Current)","Schwarzbier",0.099,0,16
"Tule Duck Red Ale (Current)","American Amber / Red Ale",0.062,42,16
"Original Orange Blossom Ale (Current)","Herbed / Spiced Beer",0.058,35,16
"Black Noddy Lager (Current)","Schwarzbier",0.052,40,16
"Cleveland Beer Week 2013","Munich Helles Lager",0.053,0,16
"Painted Turtle","American Pale Ale (APA)",0.045,0,12
"1836","American Blonde Ale",0.06,40,12
"Summer's Wit","Witbier",0.06,20,12
"More Cowbell","American Double / Imperial IPA",0.09,118,16
"Wrath of Pele","American Brown Ale",0.065,0,16
"Black Beer'd","American Black Ale",0.068,0,16
"Mr. Tea","Fruit / Vegetable Beer",0.078,0,24
"Pale Alement","American Pale Ale (APA)",0.055,40,12
"Hopkick Dropkick","American Double / Imperial IPA",0.099,115,12
"Kreamed Corn","Cream Ale",0.06,0,12
"Coconoats","American Pale Wheat Ale",0.065,0,16
"Joey Wheat","American Pale Wheat Ale",0.068,16,16
"3:33 Black IPA","American IPA",0.072,86,16
"MCA","American IPA",0.068,0,16
"Pale Alement","American Pale Ale (APA)",0.055,40,16
"Couch Select Lager","American Pale Lager",0.05,14,12
"Mucho Aloha Hawaiian Pale Ale","American Pale Ale (APA)",0.056,36,12
"Heinnieweisse Weissebier","Hefeweizen",0.049,0,12
"Snapperhead IPA","American IPA",0.068,0,12
"Moo Thunder Stout","Milk / Sweet Stout",0.049,0,12
"Porkslap Pale Ale","American Pale Ale (APA)",0.043,0,12
